,Country,Year,Gas type,"Emissions quantity, tonnes",Emissions per capita
273,Bahamas,2015,ch4,9310.0,23.75
274,Bahamas,2015,co2e_100yr,260680.0,665.0
275,Bahamas,2015,co2e_20yr,782040.0,1995.0
276,Bahamas,2016,ch4,9390.0,23.772151898734176
277,Bahamas,2016,co2e_100yr,262920.0,665.620253164557
278,Bahamas,2016,co2e_20yr,788760.0,1996.860759493671
279,Bahamas,2017,ch4,9500.0,23.80952380952381
280,Bahamas,2017,co2e_100yr,266000.0,666.6666666666666
281,Bahamas,2017,co2e_20yr,798000.0,2000.0
282,Bahamas,2018,ch4,9630.0,24.01496259351621
283,Bahamas,2018,co2e_100yr,269640.0,672.4189526184539
284,Bahamas,2018,co2e_20yr,808920.0,2017.2568578553617
285,Bahamas,2019,ch4,9630.0,23.836633663366335
286,Bahamas,2019,co2e_100yr,269640.0,667.4257425742575
287,Bahamas,2019,co2e_20yr,808920.0,2002.2772277227723
288,Bahamas,2020,ch4,9630.0,23.7192118226601
289,Bahamas,2020,co2e_100yr,269640.0,664.1379310344828
290,Bahamas,2020,co2e_20yr,808920.0,1992.4137931034484
291,Bahamas,2021,ch4,9630.0,23.66093366093366
292,Bahamas,2021,co2e_100yr,269640.0,662.5061425061425
293,Bahamas,2021,co2e_20yr,808920.0,1987.5184275184274
1386,Finland,2015,ch4,283000.0,51.6517612703048
1387,Finland,2015,co2e_100yr,7924000.0,1446.2493155685345
1388,Finland,2015,co2e_20yr,23772000.0,4338.747946705603
1389,Finland,2016,ch4,177000.0,32.21110100090992
1390,Finland,2016,co2e_100yr,4956000.0,901.9108280254777
1391,Finland,2016,co2e_20yr,14868000.0,2705.732484076433
1392,Finland,2017,ch4,178000.0,32.316630355846044
1393,Finland,2017,co2e_100yr,4984000.0,904.8656499636892
1394,Finland,2017,co2e_20yr,14952000.0,2714.5969498910677
1395,Finland,2018,ch4,179000.0,32.45693563009973
1396,Finland,2018,co2e_100yr,5012000.0,908.7941976427924
1397,Finland,2018,co2e_20yr,15036000.0,2726.382592928377
1398,Finland,2019,ch4,179000.0,32.421662742256835
1399,Finland,2019,co2e_100yr,5012000.0,907.8065567831915
1400,Finland,2019,co2e_20yr,15036000.0,2723.4196703495745
1401,Finland,2020,ch4,179000.0,32.37475131126786
1402,Finland,2020,co2e_100yr,5012000.0,906.4930367155001
1403,Finland,2020,co2e_20yr,15036000.0,2719.4791101465003
1404,Finland,2021,ch4,179000.0,32.33965672990063
1405,Finland,2021,co2e_100yr,5012000.0,905.5103884372177
1406,Finland,2021,co2e_20yr,15036000.0,2716.5311653116532
1617,Greenland,2015,ch4,1820.0,33.09090909090909
1618,Greenland,2015,co2e_100yr,50960.0,926.5454545454545
1619,Greenland,2015,co2e_20yr,152880.0,2779.6363636363635
1620,Greenland,2016,ch4,1820.0,33.09090909090909
1621,Greenland,2016,co2e_100yr,50960.0,926.5454545454545
1622,Greenland,2016,co2e_20yr,152880.0,2779.6363636363635
1623,Greenland,2017,ch4,1820.0,33.09090909090909
1624,Greenland,2017,co2e_100yr,50960.0,926.5454545454545
1625,Greenland,2017,co2e_20yr,152880.0,2779.6363636363635
1626,Greenland,2018,ch4,1820.0,33.09090909090909
1627,Greenland,2018,co2e_100yr,50960.0,926.5454545454545
1628,Greenland,2018,co2e_20yr,152880.0,2779.6363636363635
1629,Greenland,2019,ch4,1820.0,33.09090909090909
1630,Greenland,2019,co2e_100yr,50960.0,926.5454545454545
1631,Greenland,2019,co2e_20yr,152880.0,2779.6363636363635
1632,Greenland,2020,ch4,1820.0,32.5
1633,Greenland,2020,co2e_100yr,50960.0,910.0
1634,Greenland,2020,co2e_20yr,152880.0,2730.0
1635,Greenland,2021,ch4,1820.0,32.5
1636,Greenland,2021,co2e_100yr,50960.0,910.0
1637,Greenland,2021,co2e_20yr,152880.0,2730.0
1827,Hong Kong,2015,ch4,203004.0,27.43668063251791
1828,Hong Kong,2015,co2e_100yr,5684112.0,768.2270577105014
1829,Hong Kong,2015,co2e_20yr,17052336.0,2304.6811731315042
1830,Hong Kong,2016,ch4,203004.0,27.30383322125084
1831,Hong Kong,2016,co2e_100yr,5684112.0,764.5073301950235
1832,Hong Kong,2016,co2e_20yr,17052336.0,2293.5219905850704
1833,Hong Kong,2017,ch4,203004.0,27.208685162846802
1834,Hong Kong,2017,co2e_100yr,5684112.0,761.8431845597105
1835,Hong Kong,2017,co2e_20yr,17052336.0,2285.5295536791314
1836,Hong Kong,2018,ch4,203004.0,27.1359443924609
1837,Hong Kong,2018,co2e_100yr,5684112.0,759.8064429889052
1838,Hong Kong,2018,co2e_20yr,17052336.0,2279.4193289667155
1839,Hong Kong,2019,ch4,203004.0,27.081643543223052
1840,Hong Kong,2019,co2e_100yr,5684112.0,758.2860192102455
1841,Hong Kong,2019,co2e_20yr,17052336.0,2274.8580576307363
1842,Hong Kong,2020,ch4,203004.0,27.0672
1843,Hong Kong,2020,co2e_100yr,5684112.0,757.8816
1844,Hong Kong,2020,co2e_20yr,17052336.0,2273.6448
1845,Hong Kong,2021,ch4,203004.0,27.0888710968775
1846,Hong Kong,2021,co2e_100yr,5684112.0,758.4883907125701
1847,Hong Kong,2021,co2e_20yr,17052336.0,2275.46517213771
1869,Iceland,2015,ch4,8300.0,25.075528700906343
1870,Iceland,2015,co2e_100yr,232400.0,702.1148036253776
1871,Iceland,2015,co2e_20yr,697200.0,2106.3444108761328
1872,Iceland,2016,ch4,8360.0,24.955223880597014
1873,Iceland,2016,co2e_100yr,234080.0,698.7462686567164
1874,Iceland,2016,co2e_20yr,702240.0,2096.2388059701493
1875,Iceland,2017,ch4,8420.0,24.548104956268222
1876,Iceland,2017,co2e_100yr,235760.0,687.3469387755102
1877,Iceland,2017,co2e_20yr,707280.0,2062.0408163265306
1878,Iceland,2018,ch4,8490.0,24.119318181818183
1879,Iceland,2018,co2e_100yr,237720.0,675.3409090909091
1880,Iceland,2018,co2e_20yr,713160.0,2026.0227272727273
1881,Iceland,2019,ch4,8490.0,23.583333333333332
1882,Iceland,2019,co2e_100yr,237720.0,660.3333333333334
1883,Iceland,2019,co2e_20yr,713160.0,1981.0
1884,Iceland,2020,ch4,8490.0,23.19672131147541
1885,Iceland,2020,co2e_100yr,237720.0,649.5081967213115
1886,Iceland,2020,co2e_20yr,713160.0,1948.5245901639344
1887,Iceland,2021,ch4,8490.0,22.945945945945947
1888,Iceland,2021,co2e_100yr,237720.0,642.4864864864865
1889,Iceland,2021,co2e_20yr,713160.0,1927.4594594594594
1995,Israel,2015,ch4,174000.0,21.730985387785687
1996,Israel,2015,co2e_100yr,4872000.0,608.4675908579992
1997,Israel,2015,co2e_20yr,14616000.0,1825.4027725739977
1998,Israel,2016,ch4,178000.0,21.8163990685133
1999,Israel,2016,co2e_100yr,4984000.0,610.8591739183723
2000,Israel,2016,co2e_20yr,14952000.0,1832.577521755117
2001,Israel,2017,ch4,182000.0,21.903959561920807
2002,Israel,2017,co2e_100yr,5096000.0,613.3108677337826
2003,Israel,2017,co2e_20yr,15288000.0,1839.932603201348
2004,Israel,2018,ch4,185000.0,21.877956480605487
2005,Israel,2018,co2e_100yr,5180000.0,612.5827814569536
2006,Israel,2018,co2e_20yr,15540000.0,1837.7483443708609
2007,Israel,2019,ch4,185000.0,21.494132682700126
2008,Israel,2019,co2e_100yr,5180000.0,601.8357151156035
2009,Israel,2019,co2e_20yr,15540000.0,1805.5071453468108
2010,Israel,2020,ch4,185000.0,21.12595637775494
2011,Israel,2020,co2e_100yr,5180000.0,591.5267785771383
2012,Israel,2020,co2e_20yr,15540000.0,1774.5803357314148
2013,Israel,2021,ch4,185000.0,20.786516853932586
2014,Israel,2021,co2e_100yr,5180000.0,582.0224719101124
2015,Israel,2021,co2e_20yr,15540000.0,1746.0674157303372
2184,Kuwait,2015,ch4,283000.0,72.41555783009211
2185,Kuwait,2015,co2e_100yr,7924000.0,2027.6356192425794
2186,Kuwait,2015,co2e_20yr,23772000.0,6082.906857727738
2187,Kuwait,2016,ch4,292000.0,72.13438735177866
2188,Kuwait,2016,co2e_100yr,8176000.0,2019.7628458498023
2189,Kuwait,2016,co2e_20yr,24528000.0,6059.288537549407
2190,Kuwait,2017,ch4,296000.0,71.77497575169738
2191,Kuwait,2017,co2e_100yr,8288000.0,2009.6993210475266
2192,Kuwait,2017,co2e_20yr,24864000.0,6029.09796314258
2193,Kuwait,2018,ch4,300000.0,69.49270326615705
2194,Kuwait,2018,co2e_100yr,8400000.0,1945.7956914523975
2195,Kuwait,2018,co2e_20yr,25200000.0,5837.387074357192
2196,Kuwait,2019,ch4,300000.0,67.55235307363206
2197,Kuwait,2019,co2e_100yr,8400000.0,1891.4658860616978
2198,Kuwait,2019,co2e_20yr,25200000.0,5674.397658185094
2199,Kuwait,2020,ch4,300000.0,68.80733944954129
2200,Kuwait,2020,co2e_100yr,8400000.0,1926.605504587156
2201,Kuwait,2020,co2e_20yr,25200000.0,5779.816513761468
2202,Kuwait,2021,ch4,300000.0,70.58823529411765
2203,Kuwait,2021,co2e_100yr,8400000.0,1976.4705882352941
2204,Kuwait,2021,co2e_20yr,25200000.0,5929.411764705882
2856,New Zealand,2015,ch4,141000.0,30.718954248366014
2857,New Zealand,2015,co2e_100yr,3948000.0,860.1307189542483
2858,New Zealand,2015,co2e_20yr,11844000.0,2580.392156862745
2859,New Zealand,2016,ch4,142000.0,30.41988003427592
2860,New Zealand,2016,co2e_100yr,3976000.0,851.7566409597258
2861,New Zealand,2016,co2e_20yr,11928000.0,2555.2699228791776
2862,New Zealand,2017,ch4,144000.0,30.34134007585335
2863,New Zealand,2017,co2e_100yr,4032000.0,849.5575221238938
2864,New Zealand,2017,co2e_20yr,12096000.0,2548.6725663716816
2865,New Zealand,2018,ch4,145000.0,29.971062422488632
2866,New Zealand,2018,co2e_100yr,4060000.0,839.1897478296817
2867,New Zealand,2018,co2e_20yr,12180000.0,2517.569243489045
2868,New Zealand,2019,ch4,145000.0,29.239766081871345
2869,New Zealand,2019,co2e_100yr,4060000.0,818.7134502923976
2870,New Zealand,2019,co2e_20yr,12180000.0,2456.1403508771928
2871,New Zealand,2020,ch4,145000.0,28.65046433511164
2872,New Zealand,2020,co2e_100yr,4060000.0,802.2130013831259
2873,New Zealand,2020,co2e_20yr,12180000.0,2406.639004149378
2874,New Zealand,2021,ch4,145000.0,28.2706180542016
2875,New Zealand,2021,co2e_100yr,4060000.0,791.5773055176447
2876,New Zealand,2021,co2e_20yr,12180000.0,2374.7319165529343
3444,Saint Pierre and Miquelon,2015,ch4,179.0,35.8
3445,Saint Pierre and Miquelon,2015,co2e_100yr,5012.0,1002.4
3446,Saint Pierre and Miquelon,2015,co2e_20yr,15036.0,3007.2
3447,Saint Pierre and Miquelon,2016,ch4,179.0,35.8
3448,Saint Pierre and Miquelon,2016,co2e_100yr,5012.0,1002.4
3449,Saint Pierre and Miquelon,2016,co2e_20yr,15036.0,3007.2
3450,Saint Pierre and Miquelon,2017,ch4,179.0,35.8
3451,Saint Pierre and Miquelon,2017,co2e_100yr,5012.0,1002.4
3452,Saint Pierre and Miquelon,2017,co2e_20yr,15036.0,3007.2
3453,Saint Pierre and Miquelon,2018,ch4,179.0,35.8
3454,Saint Pierre and Miquelon,2018,co2e_100yr,5012.0,1002.4
3455,Saint Pierre and Miquelon,2018,co2e_20yr,15036.0,3007.2
3456,Saint Pierre and Miquelon,2019,ch4,179.0,35.8
3457,Saint Pierre and Miquelon,2019,co2e_100yr,5012.0,1002.4
3458,Saint Pierre and Miquelon,2019,co2e_20yr,15036.0,3007.2
3459,Saint Pierre and Miquelon,2020,ch4,179.0,35.8
3460,Saint Pierre and Miquelon,2020,co2e_100yr,5012.0,1002.4
3461,Saint Pierre and Miquelon,2020,co2e_20yr,15036.0,3007.2
3462,Saint Pierre and Miquelon,2021,ch4,179.0,35.8
3463,Saint Pierre and Miquelon,2021,co2e_100yr,5012.0,1002.4
3464,Saint Pierre and Miquelon,2021,co2e_20yr,15036.0,3007.2
4074,Trinidad and Tobago,2015,ch4,60600.0,41.50684931506849
4075,Trinidad and Tobago,2015,co2e_100yr,1696800.0,1162.1917808219177
4076,Trinidad and Tobago,2015,co2e_20yr,5090400.0,3486.5753424657532
4077,Trinidad and Tobago,2016,ch4,60100.0,40.91218515997277
4078,Trinidad and Tobago,2016,co2e_100yr,1682800.0,1145.5411844792375
4079,Trinidad and Tobago,2016,co2e_20yr,5048400.0,3436.623553437713
4080,Trinidad and Tobago,2017,ch4,59900.0,40.5277401894452
4081,Trinidad and Tobago,2017,co2e_100yr,1677200.0,1134.7767253044656
4082,Trinidad and Tobago,2017,co2e_20yr,5031600.0,3404.3301759133965
4083,Trinidad and Tobago,2018,ch4,60100.0,39.96010638297872
4084,Trinidad and Tobago,2018,co2e_100yr,1682800.0,1118.8829787234042
4085,Trinidad and Tobago,2018,co2e_20yr,5048400.0,3356.648936170213
4086,Trinidad and Tobago,2019,ch4,60100.0,39.56550362080316
4087,Trinidad and Tobago,2019,co2e_100yr,1682800.0,1107.8341013824884
4088,Trinidad and Tobago,2019,co2e_20yr,5048400.0,3323.5023041474656
4089,Trinidad and Tobago,2020,ch4,60100.0,39.591567852437414
4090,Trinidad and Tobago,2020,co2e_100yr,1682800.0,1108.5638998682477
4091,Trinidad and Tobago,2020,co2e_20yr,5048400.0,3325.691699604743
4092,Trinidad and Tobago,2021,ch4,60100.0,39.40983606557377
4093,Trinidad and Tobago,2021,co2e_100yr,1682800.0,1103.4754098360656
4094,Trinidad and Tobago,2021,co2e_20yr,5048400.0,3310.4262295081967
